OFFENCE_CODE,STATUTE_CODE,DESCRIPTION,SEVERITY_RANKING,ACTIVE_FLAG,EXPIRY_DATE,HO_CODE
RL89459,RL89,Causing the use of a long vehicle or combination of vehicles without the obligatory side marker lamps being fitted,125,Y,,821/00
RL89460,RL89,Causing the use of a vehicle not fitted with obligatory lighting equipment.,125,Y,,821/00
RL89461,RL89,Cause use of m/v - fail to maintain lamp / reflector / rear marking / device,125,Y,,821/00
RL89462,RL89,Causing another to use headlamps not lit in poor visibility/hours of darkness,125,Y,,821/00
RL89463,RL89,Causing the incorrect use of front fog lamp.,125,Y,,821/00
RL89464,RL89,Causing the incorrect use of rear fog lamp.,125,Y,,821/00
RL89465,RL89,Cause misuse of a motor vehicle headlamp,125,Y,,821/00
RL89466,RL89,Causing the use of a vehicle without lights at night or where there is reduced visibility.,125,Y,,821/00
RL89467,RL89,"Causing another to use a vehicle with a fitted lamp, reflector or marking capable of being moved while the vehicle is in motion.",125,Y,,821/00
RL89468,RL89,"Causing the use of a vehicle fitted with a blue warning beacon, special warning lamp, or device resembling a blue warning beacon or special warning lamp.",125,Y,,821/00
RL89500,RL89,Cause use of vehicle when warning beacon not fitted,125,N,2014-07-05 00:00:00,821/00
RL89503,RL89,No signs on bus carrying children (cause),125,N,2014-07-05 00:00:00,821/00
RT88248,RT88,Possess insurance document with intent to deceive,125,Y,,814/02
RT88249,RT88,Possessing International Road Haulage Permit with intent to deceive,125,Y,,814/05
RT88250,RT88,Possessing document with intent to deceive (not otherwise coded),125,Y,,814/06
RT88252,RT88,Making false statement to obtain operator's licence.,125,N,2014-07-05 00:00:00,807/05
RT88253,RT88,Use a motor vehicle / trailer in a condition likely to cause danger of injury,125,Y,,815/04
RT88256,RT88,Issuing false test certificate.,125,N,2014-07-05 00:00:00,813/00
RT88257,RT88,Falsely representing self to be vehicle examiner,125,N,2014-07-05 00:00:00,825/90
RT88258,RT88,Taking part in unlawful cycle speed trial on public way,93,Y,,137/14
RT88259,RT88,Causing dog to be on designated road when not held on leash,93,Y,,111/06
RT88260,RT88,Permitting dog to be on designated road when not held on leash,93,Y,,111/06
RT88261,RT88,Causing person under 14 to drive electrically assisted pedal cycle,93,N,2014-07-05 00:00:00,137/99
RT88262,RT88,Permitting person under 14 to drive electrically assisted pedal cycle,93,N,2014-07-05 00:00:00,137/99
RT88291,RT88,Cause the use of a motor vehicle without a test certificate,125,Y,,813/00
RT88292,RT88,Permitting use of vehicle with no test certificate,125,Y,,813/00
RT88293,RT88,Causing use of vehicle without plating certificate,125,Y,,813/00
RT88294,RT88,Permit use of a goods vehicle without a plating certificate,125,Y,,813/00
RT88295,RT88,Causing use of vehicle with no goods vehicle test certificate,125,Y,,813/00
RT88296,RT88,Permitting use of vehicle with no goods vehicle test certificate,125,Y,,813/00
RT88297,RT88,Cause use of veh not complying with/to which is fitted part which does not comply with prescribed req',125,N,2014-07-05 00:00:00,813/00
RT88298,RT88,Permit use vehicle not comply with/to which is fitted part which does not comply with prescribed req',125,N,2014-07-05 00:00:00,813/00
RT88299,RT88,Cause veh' to which s53(1) applies use to draw trailer w/o plate cert' specifying max laden wt for vehicle plus trailer,125,N,2014-07-05 00:00:00,813/00
RT88300,RT88,Permit veh' to which s 53(1) applies use to draw trailer w/o plate cert specifying max laden wt for vehicle plus trailer,125,N,2014-07-05 00:00:00,813/00
RT88301,RT88,Causing sale of unroadworthy vehicle or trailer,125,Y,,825/90
RT88302,RT88,Permitting sale of unroadworthy vehicle or trailer,125,Y,,825/90
RT88303,RT88,Cause a person to offer to sell / supply an unroadworthy motor vehicle / trailer,125,Y,,825/90
RT88304,RT88,Permitting offer to sell or supply unroadworthy vehicle or trailer,125,Y,,825/90
RT88305,RT88,Causing to be exposed for sale unroadworthy vehicle or trailer,125,Y,,825/90
RT88306,RT88,Permitting to be exposed for sale unroadworthy vehicle or trailer,125,Y,,825/90
RT88307,RT88,Causing alteration of vehicle or trailer so as to be unroadworthy,125,N,2014-07-05 00:00:00,825/90
RT88308,RT88,Permitting alteration of vehicle or trailer so as to be unroadworthy,125,N,2014-07-05 00:00:00,825/90
RT88309,RT88,Causing the fitting of defective or unsuitable vehicle part,125,N,2014-07-05 00:00:00,825/90
RT88310,RT88,Permitting the fitting of defective or unsuitable vehicle part,125,N,2014-07-05 00:00:00,825/90
RT88311,RT88,Causing sale of defective or unsuitable vehicle part,125,N,2014-07-05 00:00:00,825/90
SD91026,SD91,Aid/abet/assist in exposure for sale of stamp which has been fraudulently printed/impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91027,SD91,Procure exposure for sale of stamp which has been fraudulently printed or impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91028,SD91,Cause exposure for sale of stamp which has been fraudulently printed or impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91029,SD91,Uttering stamp which has been fraudulently printed or impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91030,SD91,Aiding abetting or assisting utterance of stamp which has been fraudulently printed or impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91031,SD91,Procuring utterance of stamp which has been fraudulently printed or impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91032,SD91,Causing utterance of stamp which has been fraudulently printed or impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91033,SD91,Using stamp which has been fraudulently printed or impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91034,SD91,Aiding abetting or assisting use of stamp which has been fraudulently printed or impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91035,SD91,Procuring use of stamp which has been fraudulently printed or impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91036,SD91,Causing use of stamp which has been fraudulently printed or impressed from genuine die,77,N,2014-07-05 00:00:00,053/11
SD91037,SD91,"Possess stamp or part of stamp fraudulently printed impressed cut, torn, mutilated, erased or removed",77,N,2014-07-05 00:00:00,053/11
SD91038,SD91,"Aid, abet or assist in possession of stamp fraudulently printed, impressed, cut, torn, mutilated or erased",77,N,2014-07-05 00:00:00,053/11
SD91039,SD91,"Procure possession of stamp which has been fraudulently printed, impressed, cut, torn or mutilated",77,N,2014-07-05 00:00:00,053/11
SD91040,SD91,"Cause possession of stamp fraudulently printed, impressed, cut, torn, mutilated, erased or removed",77,N,2014-07-05 00:00:00,053/11
SD91041,SD91,Possess stamped material from which item/detail with fraudulent intent has apparently/really been removed/erased,77,N,2014-07-05 00:00:00,053/11
SD91042,SD91,Aid/abet/assist in possession of stamped material from which item/detail with fraudulent intent has been removed erased,77,N,2014-07-05 00:00:00,053/11
SD91043,SD91,Procure possession of stamped material from which item/detail with fraudulent intent has been removed or erased,77,N,2014-07-05 00:00:00,053/11
SD91044,SD91,Cause possession of stamped material from which item/detail with fraudulent intent has been removed/erased,77,N,2014-07-05 00:00:00,053/11
SF12001,SF12,Use UK port to equip ship to hunt seals/sea otters in contravention of Order made under Seal Fisheries (NP) Act 1895,93,N,2014-07-05 00:00:00,116/04
SF66001,SF66,Refusing to allow fishery officer to exercise power conferred by this Act,93,N,2014-07-05 00:00:00,116/02
SF66002,SF66,Resisting or obstructing fishery officer in performance of his or her duty,93,N,2014-07-05 00:00:00,116/02
SF67001,SF67,Contravene an order relating to theregulation of nets and other fishing gear,93,N,2014-07-05 00:00:00,099/99
SF67002,SF67,Breach of condition of a fishing licence,93,N,2014-07-05 00:00:00,099/99
SF68002,SF68,Person on fishing boat failing to comply with requirement of British sea-fishery officer,93,N,2014-07-05 00:00:00,116/01
SF68003,SF68,Person on fishing boat failing to answer question of British sea-fishery officer,93,N,2014-07-05 00:00:00,116/01
SF68004,SF68,Person on fishing boat preventing another person from complying with requirement of British sea-fishery officer,93,N,2014-07-05 00:00:00,116/01
SF68005,SF68,Person on fishing boat preventing another person from answering question of British sea-fishery officer,93,N,2014-07-05 00:00:00,116/01
RC86825,RC86,Permit the use of a goods vehicle with no speed limiter,125,Y,,815/90
RC86836,RC86,Vehicle defect - permit use of motor vehicle fitted with defective horn,125,Y,,815/90
RC86838,RC86,Permit use of a goods vehicle with no ministry plate fitted,125,Y,,815/90
RC86839,RC86,Permit use of a coach / bus not fitted with a speed limiter,125,Y,,815/90
RC86840,RC86,Permit use of coach / bus fitted with a defective speed limiter,125,Y,,815/90
RC86841,RC86,Permit the use of a goods vehicle fitted with a defective speed limiter,125,Y,,815/90
RC86842,RC86,Permit the use of a coach / bus / goods vehicle without a speed limiter plate,125,Y,,815/90
RC86843,RC86,Permit use of motor vehicle maximum permitted laden weight exceeded,125,Y,,823/02
RC86846,RC86,Permitting the use of a vehicle - condition causing danger (Loads or number of persons),125,Y,,823/01
RC86847,RC86,Permitting the use of a vehicle - condition causing danger (Dangerous or defective condition),125,Y,,815/90
RC86850,RC86,Permit use of motor vehicle - fail to maintain windscreen  wipers / washers,125,Y,,815/90
RC86851,RC86,Vehicle defect - permit use of a motor vehicle / trailer with defective brakes,125,Y,,815/01
RC86852,RC86,Permitting use of a trailer/living van to carry passengers.,125,N,2014-07-05 00:00:00,825/90
RC86854,RC86,Permitting another to operate a minibus without a fire extinguisher.,125,N,2014-07-05 00:00:00,815/90
RC86855,RC86,Permit another to use a vehicle (not specified by regulation 15) without a breaking system.,125,N,2014-07-05 00:00:00,815/01
RC86859,RC86,Permit use veh' over 3.66m high w/o notice of veh' hgt displayed in cab so that it can be easily read,125,N,2014-07-05 00:00:00,825/99
RC86860,RC86,Permit another to use a vehicle with any apparatus or appliance fitted for lifting not properly secured.,125,N,2014-07-05 00:00:00,825/99
RC86870,RC86,Permit use of a motor cycle with an exhaust system marked not for road use,125,Y,,822/00
RC86871,RC86,External Rear View Mirror Likely to Become Detached (Cause),125,N,2014-07-05 00:00:00,823/01
RC86872,RC86,External Rear View Mirror Likely to Become Detached (Permit),125,N,2014-07-05 00:00:00,823/01
RC86873,RC86,Audible Warning : Horn security,125,N,2014-07-05 00:00:00,823/01
RC86874,RC86,Audible Warning : Horn security (Cause),125,N,2014-07-05 00:00:00,823/01
RC86875,RC86,Audible Warning : Horn security (Permit),125,N,2014-07-05 00:00:00,823/01
RC86876,RC86,Driving controls - condition,125,N,2014-07-05 00:00:00,823/01
RC86877,RC86,Condition of chassis,125,N,2014-07-05 00:00:00,823/01
RC86878,RC86,Electrical wiring and equipment -Defective,125,N,2014-07-05 00:00:00,823/01
RC86879,RC86,Electrical wiring and equipment -Defective (Cause),125,N,2014-07-05 00:00:00,823/01
RC86880,RC86,Emergency Trailer brake function,125,N,2014-07-05 00:00:00,815/01
RC86881,RC86,Compensating Axles not Compensating correctly,125,N,2014-07-05 00:00:00,815/90
RC86882,RC86,Mini bus/coach not fitted with seat belts,125,N,2014-07-05 00:00:00,815/90
RC86883,RC86,Mini bus/coach not fitted with seat belts (cause),125,N,2014-07-05 00:00:00,815/90
RC86884,RC86,Mini bus/coach not fitted with seat belts (permit),125,N,2014-07-05 00:00:00,815/90
RC86885,RC86,Use motor vehicle - tyres unsuitable,125,N,2014-07-05 00:00:00,815/90
RL89504,RL89,Rear marker boards (cause),125,N,2014-07-05 00:00:00,821/00
RL89601,RL89,Permitting another to use a vehicle capable of showing red light to front,125,Y,,821/00
RL89602,RL89,Permitting another to use a vehicle showing light to rear - other than red light.,125,Y,,821/00
RL89606,RL89,Permitting another to use a vehicle with an automatic flashing light,125,Y,,821/00
RL89674,RL89,Permitting the use of a pedal cycle to which obligatory front position and/or rear position lamp was not fitted,125,Y,,137/30
RL89675,RL89,Permit use of a vehicle with obligatory lighting equipment not fitted,125,Y,,821/00
RL89676,RL89,Permitting the use of a vehicle with obligatory lamp obscured,125,Y,,821/00
RL89677,RL89,Permitting the use of a vehicle with obligatory direction indicator obscured,125,Y,,821/00
RL89678,RL89,Permitting the use of a vehicle with obligatory rear reflector obscured,125,Y,,821/00
RL89679,RL89,Permitting the use of a vehicle fitted with optional lighting equipment that does not comply with Regulation 20.,125,Y,,821/00
RL89716,RL89,Permitting the use of a vehicle fitted with a lateral overhanging load not lit.,125,N,2014-07-05 00:00:00,821/00
RL89723,RL89,Permitting the use of a vehicle fitted with front overhanging load not lit,125,Y,,821/00
RL89724,RL89,Permitting another to use a vehicle fitted with rear overhanging load not lit,125,Y,,821/00
RL89725,RL89,Permitting the use of a vehicle fitted with side marker lamp of insufficient intensity,125,Y,,821/00
RL89726,RL89,Permitting the use of a vehicle fitted with side marker lamp of incorrect colour,125,Y,,821/00
RL89731,RL89,Permitting the use of a pedal cycle on which front position lamp and/or rear position lamp is not in good working order,93,Y,,137/30
RL89732,RL89,Permitting the use of a pedal cycle on which front position lamp and/or rear position lamp is not clean,93,Y,,137/30
RL89733,RL89,Permit use of a pedal cycle without lights at night,93,Y,,137/30
RL89734,RL89,Permitting the use of a pedal cycle without lights when visibility seriously reduced,93,Y,,137/30
RL89739,RL89,Permitting another to use a vehicle on which a lighting device is not in working order.,125,N,2014-07-05 00:00:00,821/00
RL89742,RL89,Permit vehicle to remain stationary during darkness without lights,125,Y,,821/00
RL89745,RL89,Permitting the use of a vehicle with unlit warning beacon,125,Y,,821/00
RL89751,RL89,Permitting the misuse of hazard warning signal device,125,Y,,821/00
RL89758,RL89,Permitting the reversing lamp to be lit when not reversing.,125,Y,,821/00
RL89759,RL89,Permitting the use of a long vehicle or combination of vehicles without the obligatory side marker lamps being fitted,125,Y,,821/00
RL89760,RL89,Permit use of vehicle - obligatory lights not complying with regulation 18,125,Y,,821/00
RL89761,RL89,Permit use of m/v - fail to maintain lamp / reflector / rear marking / device,125,Y,,821/00
RL89762,RL89,Permitting another to use headlamps not lit in poor visibility/hours of darkness,125,Y,,821/00
RL89763,RL89,Permitting the incorrect use of front fog lamp.,125,Y,,821/00
RL89764,RL89,Permitting the incorrect use of rear fog lamp.,125,Y,,821/00
RL89765,RL89,Permit misuse of a motor vehicle headlamp,125,Y,,821/00
RT88312,RT88,Permitting sale of defective or unsuitable vehicle part,125,N,2014-07-05 00:00:00,825/90
RT88319,RT88,Cause use of motor vehicle with no insurance,125,Y,,809/01
RT88320,RT88,Permit use of motor vehicle with no insurance,125,Y,,809/01
RT88321,RT88,Allowing licence to be used with intent to deceive,125,Y,,814/01
RT88322,RT88,Allowing insurance document to be used with intent to deceive,125,Y,,814/02
RT88323,RT88,Allowing International Road Haulage Permit to be used with intent to deceive,125,Y,,814/05
RT88324,RT88,Allowing document to be used with intent to deceive (not otherwise coded),125,Y,,814/06
RT88326,RT88,Attempt to drive motor vehicle - alcohol level above limit,125,Y,,803/02
RT88327,RT88,Causing driving otherwise than in accordance with licence,125,Y,,807/02
RT88328,RT88,Permitting driving otherwise than in accordance with licence,125,Y,,807/02
RT88332,RT88,Obtaining licence while disqualified,125,Y,,807/90
RT88333,RT88,Driving while disqualified (other than by reason of age),125,Y,,807/01
RT88333B,RT88,Aid / abet driving a motor vehicle whilst disqualified,125,Y,,807/01
RT88334,RT88,Drive a motor vehicle otherwise than in accordance with a licence - endorsable offence,125,Y,,807/02
RT88334B,RT88,Aid / abet the driving of a motor vehicle otherwise than in accordance with a licence - endorseable offence,125,Y,,807/02
RT88336,RT88,Danger of injury due to vehicle condition (load/passengers).,125,N,2014-07-05 00:00:00,815/04
RT88337,RT88,Cause death by driving without due care and attention / reasonable consideration while unfit through drink,125,N,2018-04-16 00:00:00,004/06
RT88338,RT88,Cause death by driving without due care / consideration while unfit through drugs,125,N,2018-04-16 00:00:00,004/06
RT88339,RT88,Drive whilst unfit through drink,125,Y,,803/09
RT88340,RT88,Drive a vehicle whilst unfit through drugs,125,Y,,803/10
RT88343,RT88,Attempt to drive vehicle whilst unfit through drink,125,Y,,803/09
RT88344,RT88,Attempt to drive vehicle whilst unfit through drugs,125,Y,,803/10
RT88347,RT88,In charge of vehicle whilst unfit through drink,125,Y,,803/11
RT88348,RT88,In charge of vehicle whilst unfit through drugs,125,Y,,803/12
RT88351,RT88,Person believed to be supervisor of provisional licence holder failing to provide own name and address to constable following accident/suspected offence by person being supervised on a road.,125,Y,,825/03
RT88352,RT88,Person believed to be supervisor of provisional licence holder failing to provide vehicle owner's name and address to constable following accident/suspected offence by person being supervised on a road.,125,Y,,825/03
RT88353,RT88,Driving with child under 14 not wearing seat belt (front seat),125,N,2014-07-05 00:00:00,825/02
RT88354,RT88,Driving with child under 14 not wearing seat belt (rear seat),125,N,2014-07-05 00:00:00,825/02
RT88355,RT88,Driving with child under 12 and under 150 cms not occupying empty front seat which was fitted with seat belt in passenger vehicle which was not fitted with rear seat belt,125,N,2014-07-05 00:00:00,825/02
RT88375,RT88,Person not supervisor of provisional licence holder fail produce cert of completion of training course for m/cyclists,125,N,2014-07-05 00:00:00,807/90
PV81098,PV81,Fail to notify Secretary of State of an alteration,125,N,2014-07-05 00:00:00,173/13
PV81099,PV81,Route & Destination of Service not Displayed,125,N,2014-07-05 00:00:00,173/13
PV81100,PV81,No means readily available to break glass to Emergency Exit,125,N,2014-07-05 00:00:00,173/13
PV81101,PV81,PSV no fire extinguisher carried,125,N,2014-07-05 00:00:00,173/13
PV81102,PV81,PSV no first aid equipment carried,125,N,2014-07-05 00:00:00,173/13
PV81103,PV81,Fail to display legal lettering (Regulation 45),125,N,2014-07-05 00:00:00,173/13
PV81104,PV81,Cause Obstruction to Entrance or Exit (Regulation 37),125,N,2014-07-05 00:00:00,173/13
PV81105,PV81,Permit Obstruction to Entrance or Exit (Regulation 37),125,N,2014-07-05 00:00:00,173/13
PV81106,PV81,Emergency door locked (externally) (Regulation 5(1)),125,N,2014-07-05 00:00:00,173/13
PV81107,PV81,Driver smoking on PSV without passengers permission (Regulation 5(4)),125,N,2014-07-05 00:00:00,173/13
PW96001,PW96,Hinder/obstruct person to do anything which he is entitled to do with regard to the land/premises under S.8(1)or(5).,93,N,2014-07-05 00:00:00,195/83
PW96002,PW96,Occupier knowing/believing person entitled to do thing with regard to land/premises under S8(1)or(5) refuses to permit,93,N,2014-07-05 00:00:00,195/83
PZ71001,PZ71,Act as a pedlar   without a pedlars   certificate,93,Y,,160/00
PZ71002,PZ71,Fail produce cert to justice/PC/officer/person he offers goods for sale/person in whose private grounds/premises found,93,N,2014-07-05 00:00:00,160/00
RA00001,RA00,Knowingly using declaration or form to make a false statement for the purposes of absent voting.,93,Y,,195/99
RA00002,RA00,Attesting an application for absent vote at particular election when knowingly not authorised to do so.,93,Y,,195/99
RA00003,RA00,Attesting an application for absent vote at particular election knowing it contained a false statement.,93,Y,,195/99
RA48002,RA48,Disclosing information about manufacturing process or trade secret without authorisation,93,N,2014-07-05 00:00:00,099/99
RA60001,RA60,Obstructing right of entry and inspection,93,Y,,099/99
RA60003,RA60,Disclosing information about manufacturing process or trade secret without authorisation,93,Y,,099/99
RA75001,RA75,Failure to comply with notice from enforcement authority,93,N,2014-07-05 00:00:00,099/99
RB74001,RB74,Unlawfully landing animal in Great Britain brought from place outside Great Britain,93,Y,,099/99
RB74004,RB74,Unlawfully attempting to land animal in Great Britain brought from place outside Great Britain,93,Y,,099/99
RB74008,RB74,Unlawfully causing landing of animal in Great Britain brought from place outside Great Britain,93,Y,,099/99
RB74009,RB74,Unlawfully permitting landing of animal in Great Britain brought from place outside Great Britain,93,Y,,099/99
RB74010,RB74,Unlawfully causing attempted landing of animal in Great Britain brought from place outside Great Britain,93,Y,,099/99
RB74011,RB74,Unlawfully permitting attempted landing of animal in Great Britain brought from place outside Great Britain,93,Y,,099/99
RC86011,RC86,Leaving on a road a motor vehicle which is not attended by a person licensed to drive it unless engine is stopped and parking brake set,125,Y,,804/90
RC86020,RC86,Failing to operate or apply brakes fitted to trailer,125,N,2014-07-05 00:00:00,804/90
RC86024,RC86,Using vehicle with mixed tyres on same axle,125,Y,,815/03
RC86025,RC86,Failing to equip motor vehicle/trailer with sufficient or suitable spring,125,Y,,825/90
RC86886,RC86,Cause use of motor vehicle - tyres unsuitable,125,N,2014-07-05 00:00:00,815/90
RC86887,RC86,Permit use of motor vehicle - tyres unsuitable,125,N,2014-07-05 00:00:00,815/90
RC86888,RC86,Tyres not maintained - agricultural vehicle,125,N,2014-07-05 00:00:00,815/03
RC86889,RC86,Tyres not maintained - agricultural vehicle (cause),125,N,2014-07-05 00:00:00,815/03
RC86890,RC86,Tyres not maintained - agricultural vehicle (permit),125,N,2014-07-05 00:00:00,815/03
RC86891,RC86,Marker boards not illuminated,125,N,2014-07-05 00:00:00,823/90
RC86892,RC86,Marker boards not illuminated (caused),125,N,2014-07-05 00:00:00,823/90
RC86893,RC86,Marker boards not illuminated (Permit),125,N,2014-07-05 00:00:00,823/90
RC86894,RC86,Use a vehicle when depth of tyre tread is less than 1.6 mm (Light Vehicles),125,Y,,815/03
RC86895,RC86,Cause the use of a vehicle when depth of tyre tread is less than 1.6 mm (Light Vehicles),125,Y,,815/03
RC86896,RC86,Permit the use of a vehicle when depth of tyre tread is less than 1.6 mm (Light Vehicles),125,Y,,815/03
RC86897,RC86,Use of vehicle parts & accessories so that no danger is caused (Multiple defects),125,N,2014-07-05 00:00:00,823/01
RC86898,RC86,Cause use of vehicle parts & accessories so that no danger is caused (Multiple defects),125,N,2014-07-05 00:00:00,823/01
RC86899,RC86,Permit use of vehicle parts & accessories so that no danger is caused (Multiple defects),125,N,2014-07-05 00:00:00,823/01
RC86900,RC86,Agricultural trailer not fitted with required braking system,125,N,2014-07-05 00:00:00,815/01
RC86901,RC86,Brakes: Vacuum or Pressure Warning Device Not Fitted,125,N,2014-07-05 00:00:00,815/01
RC86902,RC86,Brakes: Vacuum or Pressure Warning Device - defective,125,N,2014-07-05 00:00:00,815/01
RC86903,RC86,Additional Braking Device - defective,125,N,2014-07-05 00:00:00,815/01
RC86904,RC86,Service brake - defective,125,N,2014-07-05 00:00:00,815/01
RC86905,RC86,Hand operated brake control valve - function/condition,125,N,2014-07-05 00:00:00,815/01
RC86906,RC86,Service brake function/condition,125,N,2014-07-05 00:00:00,815/01
RC86907,RC86,Service brake pedal - function/condition,125,N,2014-07-05 00:00:00,815/01
RC86908,RC86,Mechanical brake lever - function/condition,125,N,2014-07-05 00:00:00,815/01
RC86909,RC86,Mechanical brake lever - function/condition (Cause),125,N,2014-07-05 00:00:00,815/01
RC86910,RC86,Mechanical brake lever - function/condition (Permit),125,N,2014-07-05 00:00:00,815/01
RC86911,RC86,Secondary brake: Performance,125,N,2014-07-05 00:00:00,815/01
RC86912,RC86,Mechanical brake components & Actuators : Maintenance,125,N,2014-07-05 00:00:00,815/01
RC86913,RC86,Parking brake: Performance,125,N,2014-07-05 00:00:00,815/01
RC86914,RC86,Parking brake: Performance (Cause),125,N,2014-07-05 00:00:00,815/01
RC86915,RC86,Parking brake: Performance (Permit),125,N,2014-07-05 00:00:00,815/01
RC86916,RC86,Caused use of vehicle when failing to maintain sideguards.,125,N,2014-07-05 00:00:00,815/90
RC86917,RC86,Permitted use of vehicle when failing to maintain sideguards.,125,N,2014-07-05 00:00:00,815/90
RC86918,RC86,Causing use of a trailer not fitted with manufacturer's plate,125,N,2014-07-05 00:00:00,825/90
RC86919,RC86,Permitting use of a trailer not fitted with manufacturer's plate,125,N,2014-07-05 00:00:00,825/90
RL89766,RL89,Permitting the use of a vehicle without lights at night or where there is reduced visibility.,125,Y,,821/00
RL89767,RL89,"Permitting another to use a vehicle with a fitted lamp, reflector or marking capable of being moved while the vehicle is in motion.",125,Y,,821/00
RL89768,RL89,"Permitting the use of a vehicle fitted with a blue warning beacon, special warning lamp, or device resembling a blue warning beacon or special warning lamp.",125,Y,,821/00
RL89803,RL89,No signs on bus carrying children (permit),125,N,2014-07-05 00:00:00,821/00
RL89804,RL89,Rear marker boards (permit),125,N,2014-07-05 00:00:00,821/00
RL89980,RL89,Permit use of vehicle when warning beacon not fitted,125,N,2014-07-05 00:00:00,821/00
RO88006,RO88,Fail to produce driving licence for endorsement by court,125,N,2014-07-05 00:00:00,807/90
RP00001,RP00,Intercept communication by public postal / telecommunication system - RIPA,93,N,2019-06-21 00:00:00,099/56
RP00002,RP00,Intercept communication - private telecommunication system - RIPA,93,N,2019-06-21 00:00:00,099/56
RP00003,RP00,Fail to give effect to an interception warrant - RIPA,93,N,2019-03-09 00:00:00,099/57
RP00004,RP00,Disclose details of an interception warrant - RIPA,93,N,2019-06-21 00:00:00,099/58
RP00005,RP00,Fail to comply with a section 49 notice to disclose the key to protected information,93,Y,,099/59
RP00006,RP00,Disclose details of section 49 notice - RIPA,93,Y,,099/60
RP76001,RP76,Failing to comply with notice under s36,93,N,2014-07-05 00:00:00,195/99
RP76002,RP76,Knowingly or recklessly furnishing false information or document,93,Y,,099/99
RP76003,RP76,Wilfully altering document required to be furnished,93,Y,,099/99
RP76004,RP76,Wilfully suppressing document required to be furnished,93,Y,,099/99
RP76005,RP76,Wilfully destroying document required to be furnished,93,Y,,099/99
RP76006,RP76,Disclosing without authorisation information obtained under provisions of this Act,93,Y,,099/99
RP83001,RP83,Personation,93,Y,,099/06
RP83002,RP83,"Aided, abetted, counselled or procured an offence of personation.",93,Y,,099/06
RP83008,RP83,Making false or unauthorised patient's or service declaration at election,93,N,2014-07-05 00:00:00,195/99
RP83009,RP83,Attesting false or unauthorised patient's or service declaration at election,93,N,2014-07-05 00:00:00,195/99
RP83010,RP83,Breach of official duty by election official,93,N,2014-07-05 00:00:00,195/99
RP83015,RP83,Returning / presiding officer / clerk administering poll deface / destroy a nomination paper,93,N,2014-07-05 00:00:00,099/99
RP83016,RP83,Returning or Presiding Officer or clerk administering poll deface or destroy ballot paper etc.,93,N,2014-07-05 00:00:00,099/99
RP83017,RP83,Fraudulently deface or destroy nomination paper at parliamentary or local government election,93,N,2014-07-05 00:00:00,195/99
RP83018,RP83,Person other than Returning or Presiding Officer or clerk administering poll deface or destroy ballot paper,93,N,2014-07-05 00:00:00,195/99
RP83019,RP83,Breach of requirement of secrecy,93,N,2014-07-05 00:00:00,195/99
RP83024,RP83,Incur election expenses without authorisation a view to promoting or procuring the election of a candidate,93,N,2014-07-05 00:00:00,099/99
RP83025,RP83,Person knowingly and falsely make declaration to verify election expenses and give particulars,93,N,2014-07-05 00:00:00,099/99
RP83026,RP83,Candidate or election agent make false election expenses declaration,93,N,2014-07-05 00:00:00,099/99
RT88389,RT88,Driver of a motor vehicle fail to give name / address and produce insurance certificate,125,Y,,809/90
RT88390,RT88,Fail to give owners name / address and produce insurance certificate - road,125,Y,,809/90
RT88391,RT88,Fail to give own and owners name and address and produce insurance certificate - road,125,Y,,809/90
RT88392,RT88,Fail to give name and address and produce test certificate to a constable after accident / suspected offence,125,Y,,813/00
RT88393,RT88,failing to give owners name and address and produce test certificate to constable following accident/suspected offence as a driver on a road.,125,Y,,813/00
RT88394,RT88,failing to give name and address and owners name and address and produce test certificate to constable following accident/suspected offence as a driver on a road.,125,Y,,813/00
RT88395,RT88,Driver of a motor vehicle fail to give name / address / produce insurance / test cert after road  accident / offence,125,Y,,809/90
RT88396,RT88,M/vehicle driver fail give owner name / address / produce insurance / test cert - accident / offence,125,Y,,813/00
RT88397,RT88,Driver of m/vehicle fail to give own / owner name / address / produce insurance/ test cert after road accident / offence,125,Y,,809/90
RT88398,RT88,Driver of a motor vehicle fail to give own / owner / name / address / after road accident / offence,125,Y,,825/03
RT88413,RT88,Obstructing an authorised examiner acting under this section.,125,N,2014-07-05 00:00:00,813/00
RT88414,RT88,Refuse / neglect to comply with a requirement to allow vehicle / trailer to be weighed / enable weight to be tested,125,N,2014-07-05 00:00:00,825/99
RT88416,RT88,Unauth' person apply mark/resembling mark calculated to deceive - offence under Trade Descriptions Act 1968,125,N,2014-07-05 00:00:00,084/01
RT88417,RT88,Sell/offer/expose for sale appli' adapted for use as reflector/tail lamp not comply with construction re veh' class,125,N,2014-07-05 00:00:00,825/90
